TRANSACTION_DATE;SETTLEMENT_DATE;MONEY_RELEASE_DATE;SOURCE_ID;PAYMENT_METHOD_TYPE;TRANSACTION_TYPE;TRANSACTION_AMOUNT;BUSINESS_UNIT;SUB_UNIT;PAYMENT_METHOD;TAX_DETAIL;STORE_ID;PAY_BANK_TRANSFER_ID;USER_ID;TRANSACTION_CURRENCY
2026-02-14T13:17:48.000-04:00;2026-02-14T13:17:48.000-04:00;2026-03-14T13:17:48.000-04:00;145586270783;available_money;SETTLEMENT;-10390.99;Mercado Libre;;available_money;;;;75592789;ARS
2026-02-12T07:59:41.000-04:00;2026-02-14T01:46:49.000-04:00;2026-02-14T01:46:49.000-04:00;145938510104;available_money;SETTLEMENT;-30336.00;;;available_money;;;;75592789;ARS
2026-02-09T22:38:34.000-04:00;2026-02-14T01:26:50.000-04:00;2026-02-14T01:26:50.000-04:00;145598157760;available_money;SETTLEMENT;-4320.00;;;available_money;;;;75592789;ARS
2026-02-09T20:56:45.000-04:00;2026-02-13T20:12:19.000-04:00;2026-02-13T20:12:19.000-04:00;144900871429;available_money;SETTLEMENT;-4710.00;;;available_money;;;;75592789;ARS
2026-02-13T14:56:09.000-04:00;2026-02-13T14:56:10.000-04:00;2026-02-13T14:56:09.000-04:00;146146457608;available_money;SETTLEMENT;-60000.00;;;available_money;;;;75592789;ARS
2026-02-13T12:19:54.000-04:00;2026-02-13T12:19:56.000-04:00;2026-02-21T11:24:04.000-04:00;146125885660;available_money;SETTLEMENT;-83756.62;Mercado Pago;Wallet;available_money;;;;75592789;ARS
2026-02-11T07:41:29.000-04:00;2026-02-13T01:23:20.000-04:00;2026-02-13T01:23:20.000-04:00;145096070243;available_money;SETTLEMENT;-4590.00;;;available_money;;;;75592789;ARS
2026-02-12T23:57:59.000-04:00;2026-02-12T23:57:59.000-04:00;;1739834670411;;SETTLEMENT;3187.87;;;;;;;75592789;ARS
2026-02-11T12:58:05.000-04:00;2026-02-12T22:02:23.000-04:00;2026-02-12T22:02:23.000-04:00;145138472085;available_money;SETTLEMENT;-5830.00;;;available_money;;;;75592789;ARS
2026-02-12T17:43:47.000-04:00;2026-02-12T17:43:47.000-04:00;2026-02-12T17:43:47.000-04:00;145324106587;available_money;SETTLEMENT;-27200.00;Mercado Pago;QR;available_money;;;;75592789;ARS
2026-02-12T17:01:39.000-04:00;2026-02-12T17:01:40.000-04:00;2026-02-14T16:06:37.000-04:00;146009463276;available_money;SETTLEMENT;-53037.00;Mercado Pago;Checkout Pro;available_money;;;;75592789;ARS
2026-02-12T10:24:35.000-04:00;2026-02-12T10:24:36.000-04:00;2026-02-12T10:24:35.000-04:00;145265204249;bank_transfer;SETTLEMENT;2800000.00;;;cvu;;;122102919654;75592789;ARS
2026-02-11T23:48:11.000-04:00;2026-02-11T23:48:11.000-04:00;;1739773102950;;SETTLEMENT;1686.05;;;;;;;75592789;ARS
2026-02-09T22:09:48.000-04:00;2026-02-11T21:46:58.000-04:00;2026-02-11T21:46:58.000-04:00;145596154132;available_money;SETTLEMENT;-4954.72;;;available_money;;;;75592789;ARS
2026-02-10T07:52:08.000-04:00;2026-02-11T17:46:38.000-04:00;2026-02-11T17:46:38.000-04:00;145632175012;available_money;SETTLEMENT;-3976.00;;;available_money;;;;75592789;ARS
2026-02-11T17:10:33.000-04:00;2026-02-11T17:10:33.000-04:00;2026-02-11T17:10:33.000-04:00;145861613364;available_money;SETTLEMENT;-901172.49;;;available_money;;;;75592789;ARS
2026-02-08T21:54:51.000-04:00;2026-02-11T02:49:05.000-04:00;2026-02-11T02:49:05.000-04:00;144756335349;available_money;SETTLEMENT;-5991.76;;;available_money;;;;75592789;ARS
2026-02-09T07:52:32.000-04:00;2026-02-11T01:39:59.000-04:00;2026-02-11T01:39:59.000-04:00;145480573236;available_money;SETTLEMENT;-5990.00;;;available_money;;;;75592789;ARS
2026-02-11T00:31:39.000-04:00;2026-02-11T00:31:39.000-04:00;;1739712199635;;SETTLEMENT;1683.10;;;;;;;75592789;ARS
2026-02-10T13:17:54.000-04:00;2026-02-10T13:17:55.000-04:00;2026-02-10T13:17:54.000-04:00;144988835607;available_money;SETTLEMENT;-645.00;Mercado Pago;QR;available_money;;;;75592789;ARS
2026-02-10T12:40:26.000-04:00;2026-02-10T12:40:27.000-04:00;2026-02-10T12:40:26.000-04:00;145672928742;available_money;SETTLEMENT;-2940.00;Mercado Pago;QR;available_money;;;;75592789;ARS
2026-02-07T19:07:15.000-04:00;2026-02-10T09:27:40.000-04:00;2026-02-10T09:27:40.000-04:00;145309353916;available_money;SETTLEMENT;-4949.98;;;available_money;;;;75592789;ARS
2026-02-10T08:17:08.000-04:00;2026-02-10T08:17:09.000-04:00;2026-02-28T07:25:55.000-04:00;145634906304;available_money;SETTLEMENT;-7500.00;Mercado Pago;Checkout Pro;available_money;;;;75592789;ARS
2026-02-10T08:03:34.000-04:00;2026-02-10T08:03:34.000-04:00;2026-02-28T07:10:39.000-04:00;144944862401;available_money;SETTLEMENT;-1770.00;Mercado Pago;Checkout Pro;available_money;;;;75592789;ARS
2026-02-06T22:13:27.000-04:00;2026-02-10T02:34:56.000-04:00;2026-02-10T02:34:55.000-04:00;145191561472;available_money;SETTLEMENT;-6465.36;;;available_money;;;;75592789;ARS
2026-02-09T23:56:31.000-04:00;2026-02-09T23:56:31.000-04:00;;1739648428529;;SETTLEMENT;319.68;;;;;;;75592789;ARS
2026-02-08T05:27:36.000-04:00;2026-02-09T18:04:35.000-04:00;2026-02-09T18:04:35.000-04:00;145351420528;available_money;SETTLEMENT;-14700.00;;;available_money;;;;75592789;ARS
2026-02-09T00:10:30.000-04:00;2026-02-09T00:10:30.000-04:00;;1739576900146;;SETTLEMENT;1332.85;;;;;;;75592789;ARS
2026-02-08T13:16:41.000-04:00;2026-02-08T13:16:42.000-04:00;2026-02-10T12:23:59.000-04:00;144703213417;available_money;SETTLEMENT;-21989.26;Mercado Pago;Checkout Pro;available_money;;;;75592789;ARS
2026-02-07T23:22:41.000-04:00;2026-02-07T23:22:41.000-04:00;2026-02-07T23:22:41.000-04:00;144653215925;available_money;SETTLEMENT;-70000.00;;;available_money;;;;75592789;ARS
2026-02-07T11:41:44.000-04:00;2026-02-07T11:41:44.000-04:00;2026-02-07T11:41:44.000-04:00;145247029764;available_money;SETTLEMENT;-1170.00;Mercado Pago;QR;available_money;;;;75592789;ARS
2026-02-05T08:12:48.000-04:00;2026-02-07T03:42:55.000-04:00;2026-02-07T03:42:55.000-04:00;144904201578;available_money;SETTLEMENT;-4600.00;;;available_money;;;;75592789;ARS
2026-02-06T19:57:20.000-04:00;2026-02-06T19:57:21.000-04:00;2026-02-06T19:57:21.000-04:00;145172567102;available_money;SETTLEMENT;-123019.50;;;available_money;;;;75592789;ARS
2026-02-06T19:56:45.000-04:00;2026-02-06T19:56:45.000-04:00;2026-02-06T19:56:45.000-04:00;144487606845;available_money;SETTLEMENT;-3000.00;;;available_money;;;;75592789;ARS
2026-02-06T19:48:49.000-04:00;2026-02-06T19:48:49.000-04:00;2026-02-06T19:48:49.000-04:00;145171207554;bank_transfer;SETTLEMENT;79370.05;;;cvu;;;121896732921;75592789;ARS
2026-02-06T15:46:46.000-04:00;2026-02-06T15:46:47.000-04:00;2026-02-08T14:57:31.000-04:00;144443235479;available_money;SETTLEMENT;-22767.07;Mercado Pago;Checkout Pro;available_money;;;;75592789;ARS
2026-02-06T15:25:49.000-04:00;2026-02-06T15:25:50.000-04:00;2026-02-06T15:25:50.000-04:00;144440196839;available_money;SETTLEMENT;-24852.00;Mercado Pago;Checkout Pro;available_money;;;;75592789;ARS
2026-02-06T15:09:11.000-04:00;2026-02-06T15:09:11.000-04:00;2026-02-06T15:09:11.000-04:00;144438005277;bank_transfer;SETTLEMENT;1411673.05;;;cvu;;;121943245844;75592789;ARS
2026-02-06T10:35:08.000-04:00;2026-02-06T10:35:12.000-04:00;2026-02-06T10:35:12.000-04:00;145081314050;available_money;SETTLEMENT;-37095.95;Mercado Pago;Wallet;available_money;;;;75592789;ARS
2026-02-06T10:34:45.000-04:00;2026-02-06T10:34:45.000-04:00;2026-02-06T10:34:45.000-04:00;145081341212;available_money;SETTLEMENT;-400000.00;;;available_money;;;;75592789;ARS
2026-02-06T10:34:10.000-04:00;2026-02-06T10:34:11.000-04:00;2026-02-06T10:34:11.000-04:00;144396236619;available_money;SETTLEMENT;-819945.24;;;available_money;;;;75592789;ARS
